product_id,product_title,match_ingredient,score,reasons
10019,Вода питьевая газированная,Вода,4.4994,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 0.9996, 'fuzzy': 1.0}"
10020,Вода питьевая кислород газированный,вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10020,Вода питьевая кислород газированный,Вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10020,Вода питьевая кислород газированный,Вода газированная,3.3002,"{'coverage_ing': 0.5, 'title_overlap': 0.2, 'vec_sim': 0.9996, 'fuzzy': 0.6538}"
10021,Вода питьевая негазированная,вода,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10021,Вода питьевая негазированная,Вода,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10021,Вода питьевая негазированная,Вода газированная,3.4828,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.9996, 'fuzzy': 0.7556}"
10022,Вода питьевая негазированная,вода,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10022,Вода питьевая негазированная,Вода,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10022,Вода питьевая негазированная,Вода газированная,3.4828,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.9996, 'fuzzy': 0.7556}"
10023,Вода питьевая негазированная,вода,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10023,Вода питьевая негазированная,Вода,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10023,Вода питьевая негазированная,Вода газированная,3.4828,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.9996, 'fuzzy': 0.7556}"
10024,Вода питьевая шишкин газированный,вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10024,Вода питьевая шишкин газированный,Вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10024,Вода питьевая шишкин газированный,Вода газированная,3.3394,"{'coverage_ing': 0.5, 'title_overlap': 0.2, 'vec_sim': 0.9996, 'fuzzy': 0.68}"
10025,Вода питьевая шишкин газированный,вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10025,Вода питьевая шишкин газированный,Вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10025,Вода питьевая шишкин газированный,Вода газированная,3.3394,"{'coverage_ing': 0.5, 'title_overlap': 0.2, 'vec_sim': 0.9996, 'fuzzy': 0.68}"
10026,Вода питьевая шишкин газированный,вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10026,Вода питьевая шишкин газированный,Вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10026,Вода питьевая шишкин газированный,Вода газированная,3.3394,"{'coverage_ing': 0.5, 'title_overlap': 0.2, 'vec_sim': 0.9996, 'fuzzy': 0.68}"
10027,Вода питьевая шишкин газированный,вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10027,Вода питьевая шишкин газированный,Вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10027,Вода питьевая шишкин газированный,Вода газированная,3.3394,"{'coverage_ing': 0.5, 'title_overlap': 0.2, 'vec_sim': 0.9996, 'fuzzy': 0.68}"
10028,Вода питьевая стэлмас газированный,вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10028,Вода питьевая стэлмас газированный,Вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10028,Вода питьевая стэлмас газированный,Вода газированная,3.3194,"{'coverage_ing': 0.5, 'title_overlap': 0.2, 'vec_sim': 0.9996, 'fuzzy': 0.6667}"
10029,Вода питьевая святой газированный,вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10029,Вода питьевая святой газированный,Вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10029,Вода питьевая святой газированный,Вода газированная,3.3394,"{'coverage_ing': 0.5, 'title_overlap': 0.2, 'vec_sim': 0.9996, 'fuzzy': 0.68}"
10030,Вода питьевая святой газированный,вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10030,Вода питьевая святой газированный,Вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10030,Вода питьевая святой газированный,Вода газированная,3.3394,"{'coverage_ing': 0.5, 'title_overlap': 0.2, 'vec_sim': 0.9996, 'fuzzy': 0.68}"
10031,Вода питьевая святой газированный,вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10031,Вода питьевая святой газированный,Вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10031,Вода питьевая святой газированный,Вода газированная,3.3394,"{'coverage_ing': 0.5, 'title_overlap': 0.2, 'vec_sim': 0.9996, 'fuzzy': 0.68}"
10032,Вода питьевая святой газированный,вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10032,Вода питьевая святой газированный,Вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10032,Вода питьевая святой газированный,Вода газированная,3.3394,"{'coverage_ing': 0.5, 'title_overlap': 0.2, 'vec_sim': 0.9996, 'fuzzy': 0.68}"
10033,Вода питьевая святой газированный,вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10033,Вода питьевая святой газированный,Вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10033,Вода питьевая святой газированный,Вода газированная,3.3394,"{'coverage_ing': 0.5, 'title_overlap': 0.2, 'vec_sim': 0.9996, 'fuzzy': 0.68}"
10034,Вода природная,вода,4.6,"{'coverage_ing': 1.0, 'title_overlap': 0.5, 'vec_sim': 1.0, 'fuzzy': 1.0}"
